"","Neighbourhood","Years","Population","Assault","Autotheft","Biketheft","Breakandenter","Homicide","Robbery","Shooting","Theftfrommv","TheftOver"
"299",3,2015,6452,16,15,3,9,3,25,5,41,10
"300",4,2015,8770,8,11,20,19,9,20,9,12,9
"301",5,2015,8788,4,28,33,17,20,7,42,31,44
"302",6,2015,9106,9,4,26,47,33,43,24,42,5
"303",7,2015,9837,36,32,37,50,2,16,48,8,12
"304",8,2015,9769,24,26,29,39,6,13,41,35,49
"305",9,2015,6243,4,41,5,10,2,37,15,38,16
"306",10,2015,6946,26,11,3,27,26,37,25,37,23
"307",11,2015,5350,31,29,45,9,11,20,5,39,36
"308",12,2015,8080,12,40,10,8,21,20,32,43,41
"309",13,2015,8623,13,48,49,29,40,43,26,31,39
"310",14,2015,5338,19,5,11,36,18,7,16,25,6
"311",15,2015,6381,39,9,38,47,38,28,5,49,37
"312",16,2015,9025,44,16,28,23,31,22,30,22,1
"313",17,2015,7202,46,43,28,28,2,33,39,10,30
"314",18,2015,5255,20,12,47,10,39,41,21,25,3
"315",19,2015,5807,46,27,29,15,2,3,22,9,15
"316",20,2015,7516,37,37,13,3,50,1,47,24,37
"317",21,2015,5304,14,27,23,12,30,31,6,39,3
"318",22,2015,7392,26,8,33,44,19,25,3,20,25
"319",23,2015,6003,14,3,31,43,8,40,26,24,27
"320",24,2015,5958,13,1,39,9,18,30,8,41,49
"321",25,2015,9568,45,23,29,29,2,8,7,34,32
"322",26,2015,9004,23,26,4,28,46,29,7,32,10
"323",27,2015,9946,13,5,40,3,3,17,2,21,19
"324",28,2015,6125,39,44,40,33,5,36,1,14,4
"325",29,2015,8092,36,6,20,15,3,19,13,7,40
"326",30,2015,8310,45,39,24,26,22,18,29,21,6
"327",31,2015,8684,49,17,14,6,47,47,19,14,27
"328",32,2015,6078,9,44,26,9,48,45,10,18,32
"329",33,2015,7112,43,34,42,30,9,37,34,24,44
"330",34,2015,9172,25,47,41,37,29,30,14,29,3
"331",35,2015,5601,10,20,29,2,16,7,3,45,34
"332",36,2015,8780,7,18,23,33,16,4,49,45,45
"333",37,2015,7764,44,47,11,10,48,1,45,17,21
"334",38,2015,9045,3,33,6,35,24,27,36,16,14
"335",39,2015,7081,20,43,17,4,45,16,29,13,20
"336",40,2015,6913,4,48,13,34,5,40,37,1,15
"337",41,2015,5017,18,38,46,25,12,14,36,29,29
"338",42,2015,6506,45,3,45,32,45,26,26,8,39
"339",43,2015,7512,15,24,28,15,22,16,3,32,36
"340",44,2015,5486,42,30,41,44,37,47,42,19,19
"341",45,2015,7783,14,5,27,39,49,17,9,48,22
"342",46,2015,6574,40,33,1,3,19,7,4,25,22
"343",47,2015,6585,34,36,16,14,50,46,24,36,34
"344",48,2015,7851,43,9,4,40,5,10,4,5,29
"345",49,2015,8417,44,2,17,35,44,27,20,30,14
"346",50,2015,6440,22,49,21,47,37,21,46,48,43
"347",51,2015,6453,47,22,39,40,30,36,22,4,7
"348",52,2015,6935,18,9,32,19,32,28,41,10,14
"349",53,2015,9819,29,29,29,50,14,4,19,45,27
"350",54,2015,8240,25,22,2,35,13,50,18,40,1
"351",55,2015,8596,5,6,39,25,8,46,26,45,43
"352",56,2015,6591,25,28,42,43,26,4,8,5,3
"353",57,2015,5141,46,28,24,10,12,44,14,10,41
"354",58,2015,9022,46,5,7,19,28,30,32,22,19
"355",59,2015,6479,6,49,5,21,48,7,49,8,32
"356",60,2015,7717,49,46,12,30,27,5,18,40,9
"357",61,2015,9681,36,25,2,20,39,41,8,21,9
"358",62,2015,5812,49,49,27,14,47,48,16,39,44
"359",63,2015,8304,15,39,38,44,39,29,40,13,47
"360",64,2015,6470,50,28,37,29,8,42,20,33,30
"361",65,2015,9011,48,23,15,17,37,16,21,28,3
"362",66,2015,8791,8,46,43,11,1,42,33,1,40
"363",67,2015,7132,7,33,9,12,46,38,4,11,23
"364",68,2015,5896,27,11,32,42,37,17,35,11,26
"365",69,2015,9167,27,18,46,36,49,48,47,25,12
"366",70,2015,9704,32,37,50,33,32,48,1,45,39
"367",71,2015,7618,13,16,38,45,40,39,29,6,19
"368",72,2015,6767,42,21,21,17,15,47,11,6,7
"369",73,2015,9718,40,42,48,10,17,9,24,45,32
"370",74,2015,8699,10,21,22,37,12,12,45,10,11
"371",75,2015,7137,48,2,38,9,27,27,19,6,42
"372",76,2015,9356,6,7,27,6,12,37,44,24,21
"373",77,2015,5296,11,27,14,31,2,23,41,28,35
"374",78,2015,9611,10,34,20,32,4,6,26,37,43
"375",79,2015,5655,30,34,11,4,1,19,32,9,13
"376",80,2015,7747,28,1,28,16,11,8,11,39,22
"377",81,2015,8334,44,14,18,47,30,19,10,12,44
"378",82,2015,7321,15,3,5,28,35,44,43,23,30
"379",83,2015,7905,41,7,35,23,39,38,34,20,2
"380",84,2015,7303,4,21,10,40,1,15,32,25,7
"381",85,2015,7613,28,6,47,16,25,43,45,38,8
"382",86,2015,6831,15,9,37,13,43,2,22,42,47
"383",87,2015,5162,29,11,4,43,30,29,49,3,11
"384",88,2015,5542,10,22,17,33,24,33,43,45,41
"385",89,2015,6695,49,20,12,8,16,14,7,6,35
"386",90,2015,8707,24,2,45,42,29,35,25,21,44
"387",91,2015,5334,18,50,31,41,29,26,30,47,18
"388",92,2015,5627,31,27,29,19,2,37,23,11,35
"389",93,2015,5594,48,26,2,34,49,7,37,15,44
"390",94,2015,6828,26,45,43,48,7,33,35,47,10
"391",95,2015,9916,28,6,38,39,2,16,21,37,23
"392",96,2015,6523,5,31,2,8,19,19,22,6,8
"393",97,2015,8277,13,9,11,34,26,43,2,39,13
"394",98,2015,8545,5,10,31,8,5,31,29,7,15
"395",99,2015,6336,40,5,6,31,49,18,30,3,41
"396",100,2015,6247,31,26,23,34,12,42,8,17,13
"397",101,2015,7829,18,45,22,1,22,49,1,41,4
"398",102,2015,9668,41,1,47,28,22,45,31,44,13
"399",103,2015,9560,32,4,9,16,6,30,17,48,5
"400",104,2015,6822,30,44,45,21,21,32,6,34,37
"401",105,2015,6931,11,2,11,28,10,19,48,22,26
"402",106,2015,7221,10,9,46,23,19,43,33,20,43
"403",107,2015,7508,49,38,20,32,1,36,40,7,34
"404",108,2015,8850,25,37,37,36,38,10,32,31,14
"405",109,2015,7856,16,4,29,6,13,35,40,6,44
"406",110,2015,9047,33,48,10,19,47,27,20,49,35
"407",111,2015,5559,21,34,32,47,32,47,5,29,32
"408",112,2015,5588,20,31,33,13,23,40,37,2,3
"409",113,2015,5243,2,1,17,27,26,44,19,48,2
"410",114,2015,9725,31,7,8,6,41,45,42,30,28
"411",115,2015,5320,28,4,16,22,11,38,45,30,12
"412",116,2015,8553,39,27,30,44,4,38,45,42,22
"413",117,2015,5143,31,5,48,22,25,28,6,45,19
"414",118,2015,8921,4,17,22,6,21,6,25,42,13
"415",119,2015,6703,14,4,17,32,15,6,2,37,29
"416",120,2015,5243,13,4,32,3,47,14,4,48,33
"417",121,2015,7583,21,38,9,19,8,25,36,32,48
"418",122,2015,8164,46,46,2,20,33,16,37,41,47
"419",123,2015,8823,34,2,47,2,8,2,32,33,17
"420",124,2015,6460,33,49,50,40,2,38,27,28,40
"421",125,2015,7697,29,11,9,24,38,10,39,17,32
"422",126,2015,8501,2,33,44,26,5,1,4,32,37
"423",127,2015,7859,50,36,15,42,18,5,15,23,3
"424",128,2015,9354,43,12,19,1,42,14,7,24,12
"425",129,2015,6305,45,2,39,40,22,25,35,2,18
"426",130,2015,6266,37,37,4,47,5,33,49,40,46
"427",131,2015,6888,26,15,33,36,49,14,10,10,36
"428",132,2015,5402,32,7,16,8,32,41,33,9,41
"429",133,2015,8090,27,1,18,5,29,12,29,8,49
"430",134,2015,8335,20,18,22,7,47,11,37,19,37
"431",135,2015,5615,11,49,6,22,43,33,13,11,14
"432",136,2015,9160,50,3,12,7,3,21,15,1,33
"433",137,2015,6915,1,50,22,29,7,11,27,4,50
"434",138,2015,6733,25,31,45,39,12,32,30,1,41
"435",139,2015,6685,33,21,41,8,9,13,16,43,19
"436",140,2015,6402,42,42,18,12,49,48,1,26,2
"437",141,2015,7595,12,34,11,37,37,2,7,39,28
"438",142,2015,5377,29,48,43,22,26,6,33,35,43
"439",143,2015,9336,47,5,18,41,26,46,42,46,43
"440",144,2015,6978,24,47,40,37,25,5,37,38,8
"441",145,2015,5313,23,49,50,27,18,29,18,5,50
"442",146,2015,5091,13,33,28,19,9,36,6,22,31
"443",147,2015,8852,24,11,48,42,24,19,12,34,33
"444",148,2015,7614,39,43,13,19,1,35,33,16,29
"445",1,2016,9916,19,29,36,30,32,19,25,12,15
"446",2,2016,5695,40,35,27,45,9,42,44,27,48
"447",3,2016,7301,8,45,5,43,13,23,30,32,33
"448",4,2016,6663,35,36,33,11,43,16,29,49,15
"449",5,2016,7901,42,25,9,13,1,14,40,40,40
"450",6,2016,7898,22,9,35,50,31,18,2,48,2
"451",7,2016,7142,28,15,14,39,46,10,2,7,22
"452",8,2016,5410,26,45,1,19,11,49,34,17,28
"453",9,2016,8785,19,35,41,7,9,43,46,34,50
"454",10,2016,8192,16,11,11,45,33,1,13,14,46
"455",11,2016,9367,26,21,47,27,2,33,16,29,36
"456",12,2016,5421,25,39,32,19,32,30,37,14,14
"457",13,2016,7333,35,11,2,38,3,43,18,34,18
"458",14,2016,9448,39,36,44,24,10,19,5,12,47
"459",15,2016,5153,2,10,44,38,9,39,27,13,23
"460",16,2016,5527,37,39,23,17,4,16,17,38,34
"461",17,2016,9497,16,17,39,21,5,25,10,10,42
"462",18,2016,6029,15,32,33,8,40,47,44,43,41
"463",19,2016,8269,12,30,8,44,34,49,29,37,7
"464",20,2016,7913,19,29,13,22,41,38,11,26,8
"465",21,2016,6583,33,13,14,42,2,33,28,26,6
"466",22,2016,6832,8,33,25,40,44,10,6,45,17
"467",23,2016,9913,20,3,16,39,34,33,38,27,50
"468",24,2016,6924,15,27,1,10,16,4,9,20,40
"469",25,2016,6442,43,47,35,46,14,30,22,42,14
"470",26,2016,6484,25,8,5,12,42,8,47,10,43
"471",27,2016,8125,43,2,47,11,48,39,39,38,2
"472",28,2016,7111,8,14,8,41,23,39,2,9,47
"473",29,2016,9493,38,27,26,50,46,8,24,12,27
"474",30,2016,6740,11,32,24,21,8,24,21,47,15
"475",31,2016,8949,48,13,2,3,8,49,30,8,13
"476",32,2016,7557,11,49,35,15,10,15,24,9,47
"477",33,2016,6885,42,16,43,46,13,45,1,48,30
"478",34,2016,5208,48,16,25,10,26,1,38,30,1
